path,filename,participant,statement,confidence_level,confidence_type,accuracy,free_cued_recall
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s44.wav,'S2_w31_t1_s44.wav',31,44.0,80.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s33.wav,'S2_w31_t1_s33.wav',31,33.0,100.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s59.wav,'S2_w31_t1_s59.wav',31,59.0,100.0,2.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s16.wav,'S2_w31_t1_s16.wav',31,16.0,100.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s54.wav,'S2_w31_t1_s54.wav',31,54.0,,,1,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s42.wav,'S2_w31_t1_s42.wav',31,42.0,80.0,1.0,0,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s40.wav,'S2_w02_t1_s40.wav',2,40.0,100.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s28.wav,'S2_w02_t1_s28.wav',2,28.0,,,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s73.wav,'S2_w02_t1_s73.wav',2,73.0,100.0,2.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s09.wav,'S2_w02_t1_s09.wav',2,9.0,100.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s53.wav,'S2_w02_t1_s53.wav',2,53.0,100.0,2.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s20.wav,'S2_w02_t1_s20.wav',2,20.0,100.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s72.wav,'S2_w02_t1_s72.wav',2,72.0,100.0,1.0,1,2
